id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA	mapA
5140	MRA01 13	environmental waters	Campylobacter jejuni	7	1	2	83	2	3	6	
5141	123	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5142	256	chicken offal or meat	Campylobacter jejuni	9	2	4	62	4	133	6	
5143	268	chicken offal or meat	Campylobacter jejuni	4	7	10	4	1	7	1	
5144	295	chicken offal or meat	Campylobacter jejuni	2	28	4	329	74	25	35	
5145	296	chicken offal or meat	Campylobacter jejuni	9	17	5	10	350	335	3	
5146	304	chicken offal or meat	Campylobacter jejuni	2	257	80	243	23	25	212	
5147	306	chicken offal or meat	Campylobacter jejuni	7	84	5	25	2	1	5	
5148	307	chicken offal or meat	Campylobacter jejuni	62	4	5	2	2	1	5	
5149	370	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5150	419	chicken offal or meat	Campylobacter jejuni	7	4	2	2	19	1	248	
5151	420	chicken offal or meat	Campylobacter jejuni	4	7	2	4	1	7	1	
5152	423	chicken offal or meat	Campylobacter jejuni	9	112	5	62	2	3	26	
5153	459	chicken offal or meat	Campylobacter jejuni	7	17	2	15	22	3	12	
5154	461	chicken offal or meat	Campylobacter jejuni	2	15	4	3	154	25	35	
5155	467	chicken offal or meat	Campylobacter jejuni	9	17	5	10	350	3	3	
5156	531	chicken offal or meat	Campylobacter jejuni	9	17	5	10	350	335	3	
5157	560	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5158	567	chicken offal or meat	Campylobacter jejuni	9	17	5	10	350	3	3	
5159	581	chicken offal or meat	Campylobacter jejuni	2	1	12	3	2	1	5	
5160	604	chicken offal or meat	Campylobacter jejuni	2	52	96	48	127	99	23	
5161	618	chicken offal or meat	Campylobacter coli	33	39	30	82	104	43	17	
5162	640	chicken offal or meat	Campylobacter jejuni	1	3	6	4	3	3	3	
5163	652	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5164	654	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5165	121-1	chicken offal or meat	Campylobacter jejuni	7	112	5	62	11	3	249	
5166	136-1	chicken offal or meat	Campylobacter jejuni	2	84	2	68	2	68	5	
5167	187-1	chicken offal or meat	Campylobacter jejuni	2	1	1	3	258	1	5	
5168	214-3	chicken offal or meat	Campylobacter jejuni	9	17	5	10	350	335	3	
5169	293-1	chicken offal or meat	Campylobacter jejuni	2	15	4	3	154	51	35	
5170	344-1	chicken offal or meat	Campylobacter jejuni	1	2	3	4	5	9	3	
5171	353-1	chicken offal or meat	Campylobacter jejuni	24	2	2	2	10	3	1	
5172	357b	chicken offal or meat	Campylobacter jejuni	2	21	5	3	23	1	5	
5173	393-2	chicken offal or meat	Campylobacter jejuni	7	112	5	10	11	67	6	
5174	422-2	chicken offal or meat	Campylobacter jejuni	7	4	2	2	19	1	248	
5175	501-3	chicken offal or meat	Campylobacter jejuni	2	17	2	3	2	1	5	
5176	541-1	chicken offal or meat	Campylobacter jejuni	22	28	4	243	23	29	35	
5177	541-2	chicken offal or meat	Campylobacter jejuni	22	28	4	243	23	29	35	
5178	A841	human stool	Campylobacter jejuni	8	10	2	2	11	12	6	
5179	A842	human stool	Campylobacter jejuni	2	1	12	3	11	1	5	
5180	B1093	human stool	Campylobacter jejuni	4	7	10	4	42	51	1	
5181	B1096	human stool	Campylobacter jejuni	4	7	10	4	42	51	1	
5182	C146	human stool	Campylobacter jejuni	8	17	5	2	10	59	6	
5183	C456	human stool	Campylobacter jejuni	8	10	2	2	11	12	6	
5184	C461	human stool	Campylobacter jejuni	8	17	5	2	10	59	6	
5185	D801	human stool	Campylobacter jejuni	1	2	42	4	153	9	8	
5186	D803	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5187	D804	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5188	D805	human stool	Campylobacter jejuni	4	7	10	4	42	7	1	
5189	E451	human stool	Campylobacter jejuni	1	2	3	4	5	9	3	
5190	E539	human stool	Campylobacter jejuni	8	10	2	10	11	12	6	
5191	E540	human stool	Campylobacter jejuni	24	84	2	2	89	120	6	
5192	G373	human stool	Campylobacter jejuni	62	4	5	2	2	1	5	
5193	K328	human stool	Campylobacter jejuni	47	84	5	10	11	48	8	
5194	L404	human stool	Campylobacter jejuni	9	17	5	10	350	335	3	
5195	L407	human stool	Campylobacter jejuni	1	84	42	4	153	9	8	
5196	M708	human stool	Campylobacter jejuni	24	17	2	15	23	3	12	
5197	P243	human stool	Campylobacter jejuni	7	84	5	25	11	1	5	
5198	R356	human stool	Campylobacter jejuni	4	7	40	4	42	51	1	
5199	S478	human stool	Campylobacter jejuni	24	17	2	15	23	3	12	
5200	T317	human stool	Campylobacter jejuni	173	4	1	68	11	290	6	
5201	V488	human stool	Campylobacter jejuni	9	25	2	10	23	3	6	
5202	Z145	human stool	Campylobacter jejuni	47	55	5	10	11	48	8	
5203	MRA03_11	environmental waters	Campylobacter jejuni	62	4	5	2	2	1	5	
5204	MRM19_23	environmental waters	Campylobacter jejuni	1	172	95	62	43	32	147	
5205	MRA15_12	environmental waters	Campylobacter coli	135	188	69	113	276	43	152	
5206	MRA18_12	environmental waters	Campylobacter coli	81	104	69	113	143	43	67	
5207	MRA20_11	environmental waters	Campylobacter coli	136	188	69	113	270	43	152	
5208	MRA20_13	environmental waters	Campylobacter coli	72	104	69	113	143	128	67	
5209	MRA24_12	environmental waters	Campylobacter coli	136	188	69	113	270	43	152	
5210	MRA40_12	environmental waters	Campylobacter coli	136	188	69	113	270	43	152	
5211	MRA40_21	environmental waters	Campylobacter coli	136	188	69	113	270	43	152	
5212	M88_D3	environmental waters	Campylobacter coli	33	39	30	82	113	47	17	
5213	M54_12	environmental waters	Campylobacter coli	33	39	30	82	113	47	17	
5214	M58_32	environmental waters	Campylobacter coli	33	39	30	82	113	47	17	
5215	M60_12	environmental waters	Campylobacter coli	33	39	30	82	113	47	17	
5216	M63_11	environmental waters	Campylobacter coli	33	38	30	82	104	43	17	
5217	M63_13	environmental waters	Campylobacter coli	33	38	30	82	104	43	17	
5218	M67_11	environmental waters	Campylobacter coli	33	39	30	82	104	56	17	
5219	M57_33	environmental waters	Campylobacter coli	33	176	30	82	113	242	17	
5220	MPA6_13		Campylobacter jejuni	7	4	5	2	11	1	5	
5221	MPA1_42		Campylobacter jejuni	7	21	2	62	67	48	26	
5222	MC2_11	pig	Campylobacter coli	33	38	30	79	104	43	17	
5223	MC4_D2	pig	Campylobacter coli	33	38	30	82	113	35	17	
5224	MC4_23	pig	Campylobacter coli	33	38	30	82	104	35	36	
5225	MC5_41	pig	Campylobacter coli	33	38	30	82	104	43	17	
5226	MC6_12	pig	Campylobacter coli	33	39	30	82	113	47	17	
5227	D47	human stool	Campylobacter coli	33	39	30	82	104	56	17	
5228	M30_8	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5229	M23_3	human stool	Campylobacter jejuni	2	257	80	243	23	25	212	
5230	M30_3	human stool	Campylobacter jejuni	2	1	12	3	2	1	5	
5231	13254		Campylobacter jejuni	4	7	40	4	42	1	1	
5232	13257		Campylobacter jejuni	2	1	5	3	2	231	5	
5233	13258		Campylobacter jejuni	43	194	2	213	19	3	148	
5234	13277		Campylobacter jejuni	24	61	4	64	74	25	23	
5235	13303		Campylobacter jejuni	2	56	1	3	2	1	5	
5236	13386		Campylobacter jejuni	7	4	2	2	11	1	5	
5237	13422		Campylobacter jejuni	9	17	5	2	11	12	6	
5238	13500		Campylobacter jejuni	8	30	2	2	11	12	12	
5239	13677		Campylobacter coli	66	39	30	82	188	47	17	
5240	12791		Campylobacter coli	24	39	30	82	189	43	68	
5241	13438		Campylobacter coli	33	39	30	79	189	44	74	
5242	13525		Campylobacter coli	33	176	65	79	104	85	17	
5243	13690		Campylobacter coli	33	124	30	82	189	47	74	
5244	13735		Campylobacter coli	33	39	30	140	112	56	17	
5245	13818		Campylobacter coli	33	124	30	82	189	44	74	
5246	13288		Campylobacter jejuni	7	60	4	28	2	3	35	
5247	12816		Campylobacter jejuni	33	39	4	79	113	5	6	
5248	12781		Campylobacter jejuni	2	4	2	2	6	319	5	
5249	13486		Campylobacter jejuni	7	4	1	68	11	58	12	
5250	13719		Campylobacter jejuni	7	2	42	4	4	12	8	
5251	C080618	human stool	Campylobacter jejuni	7	172	21	49	125	224	51	
5252	C080687	human stool	Campylobacter jejuni	2	1	12	3	2	1	23	
5253	C080631	human stool	Campylobacter jejuni	24	25	2	2	89	120	6	
5254	C080596	chicken	Campylobacter jejuni	9	17	5	10	350	335	3	
5255	C216/11	chicken	Campylobacter jejuni	1	2	3	4	42	9	3	
5256	AZ367	wild bird	Campylobacter jejuni	99	127	91	125	184	148	109	
5257	30009	chicken	Campylobacter jejuni	222	2	3	4	5	9	3	
5258	30013	chicken	Campylobacter jejuni	180	194	2	213	19	231	147	
5259	33029	chicken	Campylobacter jejuni	7	4	27	68	11	1	6	
5260	CPH014202	environmental waters	Campylobacter jejuni	223	251	216	282	359	293	102	
5261	CPH0110747	environmental waters	Campylobacter jejuni	192	295	216	332	359	293	102	
5262	VC193	cattle	Campylobacter jejuni	61	2	15	18	2	9	47	
5263	VC224	cattle	Campylobacter jejuni	1	282	3	4	5	9	3	
5264	C3C84	chicken	Campylobacter jejuni	7	17	2	15	23	2	12	
5265	C11B85	chicken	Campylobacter jejuni	2	75	4	48	11	4	1	
5266	C12B79	chicken	Campylobacter coli	33	38	66	82	104	34	17	
5267	C24B58	chicken	Campylobacter jejuni	7	28	4	18	17	34	12	
5268	C9B62	chicken	Campylobacter jejuni	2	270	4	48	141	34	1	
5269	C21B40	chicken	Campylobacter jejuni	2	4	2	4	19	3	1	
5270	C14B56	chicken	Campylobacter coli	103	110	103	82	189	164	79	
5271	C40B72	chicken	Campylobacter jejuni	8	115	57	15	127	29	35	
5272	C9B81	chicken	Campylobacter jejuni	7	17	2	15	23	177	12	
5273	7525	turkey	Campylobacter jejuni	6	5	2	2	3	3	2	
5274	8143	turkey	Campylobacter jejuni	7	112	5	2	167	336	6	
5275	8189	turkey	Campylobacter jejuni	2	112	1	2	7	1	5	
5276	2005-1713	human unspecified	Campylobacter jejuni	12	6	61	147	261	180	3	
5277	2006-0481	human unspecified	Campylobacter jejuni	2	2	2	3	2	3	5	
5278	BS678E	cattle	Campylobacter jejuni	1	6	137	176	423	32	3	
5279	NC2007-0585	human unspecified	Campylobacter jejuni	2	173	1	3	2	1	6	
5280	SC1217	turkey	Campylobacter jejuni	2	292	29	250	303	25	35	
5281	SC1346	turkey	Campylobacter jejuni	2	222	29	250	2	25	35	
5282	SC1688	turkey	Campylobacter jejuni	2	2	29	250	2	25	35	
5283	SC1698	turkey	Campylobacter jejuni	7	1	5	2	167	67	6	
5284	SC45	turkey	Campylobacter jejuni	2	4	1	2	7	309	5	
5285	SC824	turkey	Campylobacter jejuni	2	222	29	250	417	25	35	
5286	CPH0214443	human stool	Campylobacter jejuni	55	21	2	71	11	37	6	
5287	CMB06688/2	cattle	Campylobacter jejuni	2	1	4	28	58	25	5	
5288	SVS72-64077	turkey	Campylobacter jejuni	22	7	4	28	141	25	23	
5289	P145a	chicken offal or meat	Campylobacter jejuni	2	4	12	2	7	1	5	
5290	CPH0811905/1	human stool	Campylobacter jejuni	2	1	5	88	2	11	5	
5291	CPH0811762/1	human stool	Campylobacter jejuni	9	2	5	333	11	3	1	
5292	CPH0811902/1	human stool	Campylobacter coli	224	38	44	82	118	85	36	
5293	IA3902	sheep	Campylobacter jejuni	2	1	1	3	2	1	6	1
5294	IA975	sheep	Campylobacter jejuni	2	1	1	3	2	1	6	
5295	ID04-218 B099B	sheep	Campylobacter jejuni	2	1	1	3	2	1	6	
5296	CAT0501095B	sheep	Campylobacter jejuni	2	1	1	3	2	1	6	
5297	164-1	dog	Campylobacter jejuni	4	296	10	4	1	7	1	
5298	SSI-1372		Campylobacter jejuni	33	39	30	79	19	62	5	
5299	12578		Campylobacter coli	33	39	252	79	104	35	17	
5300	12693		Campylobacter coli	226	39	30	82	189	43	68	
5301	13385		Campylobacter coli	33	304	30	82	113	47	17	
5302	13868		Campylobacter coli	225	39	30	79	189	44	74	
5303	12698		Campylobacter jejuni	8	2	5	68	11	338	1	
5304	12708		Campylobacter jejuni	1	302	3	4	5	9	3	
5305	12786		Campylobacter jejuni	2	298	42	2	2	1	5	
5306	12961		Campylobacter jejuni	4	299	10	4	1	7	1	
5307	13046		Campylobacter jejuni	8	2	5	336	11	3	1	
5308	13057		Campylobacter jejuni	7	17	250	15	23	3	12	
5309	13122		Campylobacter jejuni	230	7	10	4	1	7	1	
5310	13161		Campylobacter jejuni	2	1	251	3	2	1	5	
5311	13212		Campylobacter jejuni	7	2	5	72	2	342	6	
5312	13319		Campylobacter jejuni	7	17	2	337	23	3	12	
5313	13373		Campylobacter jejuni	228	33	22	49	43	82	31	
5314	13377		Campylobacter jejuni	9	2	42	4	11	9	253	
5315	13531		Campylobacter jejuni	2	28	4	28	426	60	35	
5316	13714		Campylobacter jejuni	91	2	42	4	169	25	8	
5317	13764		Campylobacter jejuni	2	1	1	5	2	343	5	
5318	C2B55	chicken	Campylobacter coli	87	39	30	81	189	44	74	
5319	C24B63	chicken	Campylobacter coli	103	110	103	82	188	164	79	
5320	BB371	chicken	Campylobacter coli	87	39	30	82	189	44	17	
5321	BB1219	chicken	Campylobacter jejuni	102	123	102	100	134	103	16	
5322	ERL02-1649	environmental waters	Campylobacter jejuni	175	6	216	282	261	346	3	
5323	ERL02-1659	environmental waters	Campylobacter jejuni	27	305	22	49	43	9	31	
5324	ERL02-1663	environmental waters	Campylobacter jejuni	1	6	5	4	261	7	3	
5325	ERL02-1669	environmental waters	Campylobacter jejuni	81	7	10	4	1	7	1	
5326	ERL02-1671	environmental waters	Campylobacter jejuni	10	31	63	129	101	9	49	
5327	ERL02-1672	environmental waters	Campylobacter jejuni	27	22	31	18	178	86	16	
5328	F38011	human unspecified	Campylobacter jejuni	7	4	27	68	11	3	6	
5329	Human 11	human stool	Campylobacter jejuni	9	2	4	62	10	5	17	
5330	Human 30	human stool	Campylobacter jejuni	8	2	1	53	11	3	1	
5331	USDA02-833L	chicken	Campylobacter jejuni	9	25	2	10	431	3	6	
5332	DAQ334-314	cattle	Campylobacter coli	33	39	66	174	104	43	41	
5333	W135a	environmental waters	Campylobacter jejuni	1	6	5	282	261	7	3	
5334	W232a	environmental waters	Campylobacter jejuni	175	251	216	282	359	293	3	
5335	W245b	environmental waters	Campylobacter jejuni	27	33	22	104	134	7	31	
5336	W272a	environmental waters	Campylobacter jejuni	1	295	216	282	359	293	102	
5337	W29b	environmental waters	Campylobacter jejuni	37	52	57	26	127	29	1	
5338	W38a	environmental waters	Campylobacter jejuni	192	295	216	282	359	293	102	
5339	W57a	environmental waters	Campylobacter jejuni	27	33	22	49	134	7	31	
5340	W57b	environmental waters	Campylobacter jejuni	27	33	22	49	43	110	31	
5341	W63a	environmental waters	Campylobacter jejuni	175	6	216	282	261	7	3	
5342	W96b	environmental waters	Campylobacter jejuni	37	52	4	26	127	29	23	
5343	H052660233	human stool	Campylobacter jejuni	2	1	5	297	2	1	5	
5344	H053320345	human stool	Campylobacter jejuni	4	7	219	4	42	51	1	
5345	0009+20-187		Campylobacter jejuni	2	4	5	2	87	1	5	
5346	E 695/99B		Campylobacter jejuni	1	4	2	3	432	3	17	
5347	C28B51	chicken	Campylobacter coli	7	110	103	140	188	164	79	
5348	BB360	chicken	Campylobacter coli	87	39	30	79	189	35	17	
5349	BB3302	chicken	Campylobacter coli	87	110	30	82	189	44	74	
5350	0500564	sheep	Campylobacter jejuni	2	195	1	3	2	1	5	
5351	0401841	cattle	Campylobacter jejuni	220	7	41	4	42	7	1	
5352	0403590	cattle	Campylobacter jejuni	4	7	41	4	1	7	1	
5353	0402713	sheep	Campylobacter jejuni	2	294	1	3	2	1	5	
5354	0402198	cattle	Campylobacter jejuni	1	3	6	331	3	75	3	
5355	0402577	cattle	Campylobacter jejuni	7	1	2	298	2	3	6	
5356	0600359.1	chicken	Campylobacter jejuni	221	1	5	2	11	1	26	
5357	ERL02-1691	environmental waters	Campylobacter jejuni	2	33	61	104	134	86	51	
5358	ERL02-1700	environmental waters	Campylobacter jejuni	130	155	34	113	39	88	31	
5359	W119b	environmental waters	Campylobacter jejuni	236	306	254	339	433	349	255	
5360	W120a	environmental waters	Campylobacter jejuni	175	6	216	4	434	7	3	
5361	W143b	environmental waters	Campylobacter jejuni	27	33	22	49	43	350	31	
5362	W19a	environmental waters	Campylobacter jejuni	237	2	254	340	435	349	256	
5363	W227b	environmental waters	Campylobacter jejuni	1	307	3	4	5	9	3	
5364	ERL02-1685	environmental waters	Campylobacter jejuni	27	33	22	49	43	351	31	
5365	ERL02-1702	environmental waters	Campylobacter jejuni	2	59	4	48	131	352	57	
5366	988	chicken	Campylobacter jejuni	7	17	5	2	10	3	6	
5367	1049	chicken	Campylobacter jejuni	8	2	5	53	11	3	105	
5368	1082	chicken	Campylobacter jejuni	7	17	5	2	224	3	6	
5369	1083	chicken	Campylobacter jejuni	7	2	5	53	11	3	1	
5370	1117	chicken	Campylobacter jejuni	7	17	5	2	10	3	6	
5371	1300	chicken	Campylobacter jejuni	7	17	5	2	10	3	6	
5372	1302	chicken	Campylobacter jejuni	7	17	5	2	10	3	6	
5373	1313	chicken	Campylobacter jejuni	8	10	2	2	11	12	6	
5374	1329	chicken	Campylobacter jejuni	7	2	5	2	156	3	6	
5375	1345	chicken	Campylobacter jejuni	7	17	5	2	13	3	6	
5376	22597		Campylobacter coli	33	39	30	79	104	47	36	
5377	23796		Campylobacter coli	33	39	65	79	104	85	36	
5378	13715		Campylobacter jejuni	7	4	5	2	428	1	5	
5379	13795		Campylobacter jejuni	2	1	21	3	189	1	5	
5380	11824		Campylobacter jejuni	4	7	40	4	42	341	1	
5381	11829		Campylobacter jejuni	2	300	1	3	2	1	5	
5382	11865		Campylobacter jejuni	2	1	1	62	7	47	12	
5383	11995		Campylobacter jejuni	4	7	40	4	42	339	1	
5384	12064		Campylobacter jejuni	229	17	2	15	427	3	252	
5385	12070		Campylobacter jejuni	9	2	2	10	10	3	254	
5386	12130		Campylobacter jejuni	231	2	1	2	10	3	1	
5387	12147		Campylobacter jejuni	14	17	1	2	2	344	6	
5388	12398		Campylobacter jejuni	2	4	2	4	425	3	6	
5389	12463		Campylobacter jejuni	9	2	249	62	4	5	6	
5390	12575		Campylobacter jejuni	2	1	3	3	2	1	5	
5391	20083	chicken offal or meat	Campylobacter jejuni	2	2	1	2	7	1	5	
5392	20090	chicken offal or meat	Campylobacter jejuni	2	2	1	2	7	1	5	
5393	22155	chicken offal or meat	Campylobacter jejuni	7	2	12	2	11	3	6	
5394	22171	chicken offal or meat	Campylobacter jejuni	9	17	5	10	11	3	6	
5395	28657	chicken offal or meat	Campylobacter jejuni	7	17	12	2	10	1	6	
5396	19762	pork offal or meat	Campylobacter coli	33	39	30	82	253	47	41	
5397	20076	pork offal or meat	Campylobacter coli	53	38	44	82	118	47	36	
5398	20078	chicken offal or meat	Campylobacter coli	2	33	61	104	134	86	51	
5399	21052	chicken offal or meat	Campylobacter coli	130	155	34	113	39	88	31	
5400	28655	chicken offal or meat	Campylobacter coli	236	306	254	339	433	349	255	
5401	28658	chicken offal or meat	Campylobacter coli	175	6	216	4	434	7	3	
5402	C414		Campylobacter jejuni	227	297	253	338	424	337	250	
5403	6356		Campylobacter jejuni	64	22	212	100	134	301	60	
5404	1152		Campylobacter jejuni	2	1	1	3	3	1	5	
5405	12022	goose	Campylobacter jejuni	2	15	4	105	126	24	23	
5406	1319		Campylobacter jejuni	7	1	52	83	2	3	6	
5407	1515		Campylobacter jejuni	2	1	12	121	2	1	5	
5408	28764	chicken offal or meat	Campylobacter coli	33	39	30	82	439	43	17	
5409	P426b	chicken	Campylobacter jejuni	1	2	4	62	4	5	17	
5410	H241	human stool	Campylobacter jejuni	1	2	215	4	90	24	8	
5411	72458	human stool	Campylobacter jejuni	2	1	12	3	11	1	6	
5412	S25a	farm environment	Campylobacter jejuni	2	1	12	3	2	1	52	
5413	11263	human stool	Campylobacter jejuni	2	1	12	3	357	1	5	
5414	M1312b	beef offal or meat	Campylobacter jejuni	2	1	12	88	2	3	5	
5415	P351a	chicken	Campylobacter jejuni	2	1	21	3	62	1	5	
5416	H207	human stool	Campylobacter jejuni	2	4	1	4	1	1	5	
5417	M416b	lamb offal or meat	Campylobacter jejuni	2	4	12	2	2	1	5	
5418	H688	human stool	Campylobacter jejuni	3	1	5	10	11	11	6	
5419	P54b	chicken	Campylobacter jejuni	8	10	149	2	1	12	6	
5420	M775b	lamb offal or meat	Campylobacter jejuni	10	1	12	3	2	5	7	
5421	S228a	farm environment	Campylobacter jejuni	33	39	12	82	104	173	5	
5422	S271a	farm environment	Campylobacter jejuni	33	39	149	2	104	12	6	
5423	P253a	chicken	Campylobacter jejuni	37	1	57	26	107	29	35	
5424	P269b	chicken	Campylobacter jejuni	37	253	4	48	126	25	3	
5425	H337	human stool	Campylobacter jejuni	48	7	10	4	183	7	1	
5426	H275	human stool	Campylobacter jejuni	166	2	1	10	17	3	1	
5427	22412	chicken offal or meat	Campylobacter coli	33	310	103	82	113	64	41	
5428	18691	chicken offal or meat	Campylobacter jejuni	4	7	256	4	1	7	1	
5429	18813	chicken offal or meat	Campylobacter jejuni	7	2	5	342	156	3	6	
5430	20065	chicken offal or meat	Campylobacter jejuni	2	309	1	2	7	1	5	
5431	21397	chicken offal or meat	Campylobacter jejuni	7	17	5	2	440	1	6	
5432	22161	chicken offal or meat	Campylobacter jejuni	7	17	5	2	441	3	6	
5433	22736	chicken offal or meat	Campylobacter jejuni	7	17	5	2	10	3	12	
5434	28652	chicken offal or meat	Campylobacter jejuni	7	311	5	2	11	67	6	
5435	28667	chicken offal or meat	Campylobacter jejuni	7	311	257	2	11	67	6	
5436	ZCC-19	chicken	Campylobacter jejuni	24	30	2	2	2	120	6	
5437	ZCC-140	chicken	Campylobacter jejuni	24	30	2	2	2	120	6	
5438	ZCC-66	chicken	Campylobacter jejuni	24	30	2	2	2	120	6	
5439	ZCC-67	chicken	Campylobacter jejuni	7	4	5	68	11	1	6	
5440	ZCC-128	chicken	Campylobacter jejuni	7	4	5	68	11	1	6	
5441	ZCC-136	chicken	Campylobacter jejuni	7	4	5	68	11	1	6	
5442	ZCC-29	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5443	ZCC-94	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5444	ZCC-143	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5445	ZCC-213	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5446	ZCC-224	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5447	ZCC-243	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5448	ZCC-259	chicken	Campylobacter jejuni	7	4	5	68	11	1	257	
5449	CZ-85	human unspecified	Campylobacter jejuni	234	10	2	2	67	12	6	
5450	CZ-93	human unspecified	Campylobacter jejuni	234	10	2	2	67	12	6	
5451	CZ-98	human unspecified	Campylobacter jejuni	234	10	2	2	67	12	6	
5452	ZCC-82	chicken	Campylobacter jejuni	234	10	2	2	67	12	6	
5453	ZCC-115	chicken	Campylobacter jejuni	234	10	2	2	67	12	6	
5454	ZCC-218	chicken	Campylobacter jejuni	234	10	2	2	67	12	6	
5455	ZCC-242	chicken	Campylobacter jejuni	234	10	2	2	67	12	6	
5456	ZCC-251	chicken	Campylobacter jejuni	234	10	2	2	67	12	6	
5457	CZ-37	human unspecified	Campylobacter jejuni	1	308	95	49	436	353	258	
5458	CZ-60	human unspecified	Campylobacter jejuni	1	308	95	49	436	353	258	
5459	CZ-77	human unspecified	Campylobacter jejuni	233	2	42	4	90	25	8	
5460	ZCC-32	chicken	Campylobacter jejuni	7	2	5	341	10	3	6	
5461	ZCC-43	chicken	Campylobacter jejuni	24	30	255	2	89	59	6	
5462	ZCC-138	chicken	Campylobacter jejuni	24	30	255	2	89	59	6	
5463	ZCC-157	chicken	Campylobacter jejuni	7	84	5	10	437	3	6	
5464	ZCC-157	chicken	Campylobacter jejuni	7	84	5	10	437	3	6	
5465	ZCC-209	chicken	Campylobacter jejuni	124	39	30	79	438	47	17	
5466	CZ-99	human unspecified	Campylobacter jejuni	235	2	42	62	11	9	8	
5467	CZ-100	human unspecified	Campylobacter jejuni	235	2	42	62	11	9	8	
5468	28656	chicken offal or meat	Campylobacter jejuni	2	4	1	2	442	1	5	
5469	5701	human stool	Campylobacter jejuni	7	53	2	10	11	7	3	
5470	5741	human stool	Campylobacter jejuni	7	4	1	25	11	358	5	
5471	5749	human stool	Campylobacter jejuni	2	4	95	2	7	1	5	
5472	5836	human stool	Campylobacter coli	33	176	30	82	104	43	17	
5473	5854	human stool	Campylobacter jejuni	7	17	5	2	10	360	6	
5474	5862	human stool	Campylobacter jejuni	64	33	22	344	122	17	16	
5475	5866	human stool	Campylobacter jejuni	27	2	22	104	115	86	31	
5476	5893	human stool	Campylobacter jejuni	2	1	1	3	444	1	5	
5477	5914	human stool	Campylobacter jejuni	24	2	5	72	22	102	6	
5478	5927	human stool	Campylobacter jejuni	7	53	2	15	13	3	3	
5479	5930	human stool	Campylobacter coli	33	39	30	79	104	47	139	
5480	5986	human stool	Campylobacter jejuni	64	22	85	77	94	355	16	
5481	5987	human stool	Campylobacter jejuni	24	17	5	2	10	3	6	
5482	5997	human stool	Campylobacter jejuni	2	4	52	93	14	3	6	
5483	13041	human stool	Campylobacter jejuni	24	17	12	15	23	3	12	
5484	13080	human stool	Campylobacter jejuni	160	84	2	10	11	3	5	
5485	13082	human stool	Campylobacter jejuni	22	28	4	28	363	3	35	
5486	13092	human stool	Campylobacter jejuni	7	2	5	2	10	356	6	
5487	13097	human stool	Campylobacter jejuni	4	312	10	4	42	25	1	
5488	13160	human stool	Campylobacter jejuni	2	1	12	3	2	1	12	
5489	13211	human stool	Campylobacter jejuni	188	313	1	2	89	5	6	
5490	13212	human stool	Campylobacter jejuni	3	1	5	17	445	11	6	
5491	13244	human stool	Campylobacter jejuni	1	2	3	4	5	9	260	
5492	13255	human stool	Campylobacter jejuni	2	4	1	93	11	3	259	
5493	13261	human stool	Campylobacter jejuni	15	22	77	98	138	320	16	
5494	13317	human stool	Campylobacter coli	162	215	200	270	326	357	187	
5495	13320	human stool	Campylobacter jejuni	11	33	22	49	43	82	31	
5496	13331	human stool	Campylobacter coli	33	39	30	115	113	85	17	
5497	13340	human stool	Campylobacter jejuni	9	2	42	4	11	361	253	
5498	13356	human stool	Campylobacter jejuni	55	21	27	10	14	37	6	
5499	13396	human stool	Campylobacter jejuni	2	15	4	3	15	25	35	
5500	13410	human stool	Campylobacter jejuni	18	17	5	10	11	3	6	
5501	13422	human stool	Campylobacter jejuni	2	21	12	62	11	359	6	
5502	28661	chicken offal or meat	Campylobacter jejuni	2	1	259	3	2	1	5	
5503	H389	human stool	Campylobacter jejuni	8	315	2	2	11	12	6	
5504	30482	chicken	Campylobacter jejuni	7	53	2	2	11	3	3	
5505	32711	chicken	Campylobacter jejuni	8	71	2	2	11	12	6	
5506	1858_1	cattle	Campylobacter jejuni	1	4	1	4	19	62	5	
5507	6152_1	cattle	Campylobacter jejuni	4	1	6	3	2	1	5	
5508	190_2671	chicken	Campylobacter jejuni	18	22	30	345	1	7	47	
5509	33582	chicken	Campylobacter jejuni	1	17	2	2	6	3	5	
5510	3208	chicken	Campylobacter jejuni	48	7	10	346	1	7	1	
5511	H526	human stool	Campylobacter jejuni	9	316	4	62	4	5	6	
5512	H804	human stool	Campylobacter jejuni	1	4	2	2	446	3	17	
