id	isolate	source	species	aspA	glnA	gltA	glyA	pgm	tkt	uncA
123	79129	sand (bathing beach)	Campylobacter jejuni	1	6	7	2	7	32	3
124	79207	sand (bathing beach)	Campylobacter jejuni	1	6	29	2	40	32	3
125	79373	sand (bathing beach)	Campylobacter jejuni	10	31	7	2	39	31	3
126	1576	human stool	Campylobacter jejuni	2	1	1	3	2	1	5
127	314	human stool	Campylobacter jejuni	2	1	12	3	2	1	5
128	337	human stool	Campylobacter jejuni	2	1	1	3	41	1	3
129	1656	human stool	Campylobacter jejuni	1	4	2	3	6	3	19
130	3667	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
131	3744	human stool	Campylobacter jejuni	1	2	3	4	5	9	3
132	3782	human stool	Campylobacter jejuni	2	1	1	3	7	1	5
133	3907	human stool	Campylobacter jejuni	2	1	5	3	2	1	5
134	3174	human stool	Campylobacter jejuni	7	1	1	3	42	1	5
135	3117	human stool	Campylobacter jejuni	2	29	4	27	10	3	5
136	2945	human stool	Campylobacter jejuni	4	1	1	3	4	1	5
137	2879	human stool	Campylobacter jejuni	2	7	10	4	1	7	5
138	2809	human stool	Campylobacter jejuni	23	20	1	3	2	1	5
